transfer_id,from_stop,to_stop,from_route,to_route,walking_distance
transfer-1,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-400,"(0.09 km, 1 min)"
transfer-2,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-539,"(0.09 km, 1 min)"
transfer-3,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-404,"(0.09 km, 1 min)"
transfer-4,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-408,"(0.09 km, 1 min)"
transfer-5,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-466,"(0.09 km, 1 min)"
transfer-6,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-614,"(0.09 km, 1 min)"
transfer-7,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-541,"(0.09 km, 1 min)"
transfer-8,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-535,"(0.09 km, 1 min)"
transfer-9,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-533,"(0.09 km, 1 min)"
transfer-10,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-623,"(0.09 km, 1 min)"
transfer-11,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-536,"(0.09 km, 1 min)"
transfer-12,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-396,"(0.09 km, 1 min)"
transfer-13,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-538,"(0.09 km, 1 min)"
transfer-14,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-411,"(0.09 km, 1 min)"
transfer-15,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-406,"(0.09 km, 1 min)"
transfer-16,stop-train-2264,stop-urb-247,route-train-valsugana,route-urb-415,"(0.09 km, 1 min)"
transfer-17,stop-train-2264,stop-urb-2409,route-train-valsugana,route-urb-404,"(0.23 km, 3 min)"
transfer-18,stop-train-2264,stop-urb-2409,route-train-valsugana,route-urb-621,"(0.23 km, 3 min)"
transfer-19,stop-train-2264,stop-urb-2409,route-train-valsugana,route-urb-541,"(0.23 km, 3 min)"
transfer-20,stop-train-2264,stop-urb-2409,route-train-valsugana,route-urb-623,"(0.23 km, 3 min)"
transfer-21,stop-train-2264,stop-urb-2409,route-train-valsugana,route-urb-536,"(0.23 km, 3 min)"
transfer-22,stop-train-2264,stop-urb-2680,route-train-valsugana,route-urb-402,"(0.25 km, 3 min)"
transfer-23,stop-train-2264,stop-urb-2680,route-train-valsugana,route-urb-425,"(0.25 km, 3 min)"
transfer-24,stop-train-2264,stop-urb-2680,route-train-valsugana,route-urb-629,"(0.25 km, 3 min)"
transfer-25,stop-train-2264,stop-urb-2680,route-train-valsugana,route-urb-541,"(0.25 km, 3 min)"
transfer-26,stop-train-2264,stop-urb-2680,route-train-valsugana,route-urb-533,"(0.25 km, 3 min)"
transfer-27,stop-train-2264,stop-urb-2680,route-train-valsugana,route-urb-536,"(0.25 km, 3 min)"
transfer-28,stop-train-2264,stop-urb-2680,route-train-valsugana,route-urb-478,"(0.25 km, 3 min)"
transfer-29,stop-train-2676,stop-urb-350,route-train-valsugana,route-urb-402,"(0.14 km, 2 min)"
transfer-30,stop-train-2676,stop-urb-350,route-train-valsugana,route-urb-538,"(0.14 km, 2 min)"
transfer-31,stop-train-2676,stop-urb-350,route-train-valsugana,route-urb-614,"(0.14 km, 2 min)"
transfer-32,stop-train-2676,stop-urb-351,route-train-valsugana,route-urb-402,"(0.28 km, 3 min)"
transfer-33,stop-train-2676,stop-urb-351,route-train-valsugana,route-urb-538,"(0.28 km, 3 min)"
transfer-34,stop-train-2676,stop-urb-351,route-train-valsugana,route-urb-614,"(0.28 km, 3 min)"
